      Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
--------------------------------------------------------------------------------------------------------------------------------------------
ELECTROSTATIC            NC                   0  0.12  0.72  Ref         5.054120298458375e-05               185     Ref     nan  nan    nan
ELECTROSTATIC            NC                   0  0.12  0.72    2        -0.0017843000092646654                 1       2   0.001  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72    3         -0.002700770067515554                 1       3  0.0015  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72    4         -0.003616610445839342                 1       4   0.002  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72    5         -0.004531824582215151                 1       5  0.0025  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72    6          -0.00544641476870553                 1       6   0.003  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72    7          -0.00636038730807675                 1       7  0.0035  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72    8        -0.0072737393357693095                 1       8   0.004  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72    9         -0.008186478300463165                 1       9  0.0045  0.0    0.0
ELECTROSTATIC            NC                   0  0.12  0.72   10          -0.28648965975570356               270      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count         Total_rotation     Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
     R1     50  5.054120298458375e-05  5.054120298458375e-05  1.0108240596916749e-06  1.010829330903558e-06
     Ld     50                    0.0                    0.0                     0.0                    0.0
    BPM     60                    0.0                    0.0                     0.0                    0.0
    Lds     10                    0.0                    0.0                     0.0                    0.0
     Lf     50                    0.0                    0.0                     0.0                    0.0
    OD1    120                    0.0                    0.0                     0.0                    0.0
    Lfs     10                    0.0                    0.0                     0.0                    0.0
    OD2    120                    0.0                    0.0                     0.0                    0.0
    OR1     10                    0.0                    0.0                     0.0                    0.0
    SDP     30                    0.0                    0.0                     0.0                    0.0
    SFP     30                    0.0                    0.0                     0.0                    0.0


Ray 2
Element  Count          Total_rotation      Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
-------------------------------------------------------------------------------------------------------------
     Ld     50  1.1552719812823672e-05     0.14487385833615146   0.0028974771667230293   0.004967721973852745
     Lf     50  -6.708189772776287e-06      0.0747939099300138    0.001495878198600276   0.002573726410877752
    Lds     10   -0.004436675478350328     0.03480417020697125    0.003480417020697125   0.005377725699442264
    Lfs     10    0.002596972399423337     0.01659052741761345    0.001659052741761345  0.0024227041926830253
     R1     50   5.055854048750707e-05  0.00018420438337100688  3.6840876674201375e-06  7.236456895490934e-06
    BPM     60                     0.0                     0.0                     0.0                    0.0
    OD1    120                     0.0                     0.0                     0.0                    0.0
    OD2    120                     0.0                     0.0                     0.0                    0.0
    OR1     10                     0.0                     0.0                     0.0                    0.0
    SDP     30                     0.0                     0.0                     0.0                    0.0
    SFP     30                     0.0                     0.0                     0.0                    0.0


Ray 3
Element  Count           Total_rotation     Total_abs_rotation      Mean_abs_rotation        Max_abs_rotation
-------------------------------------------------------------------------------------------------------------
     Ld     50     2.12953512784839e-05     0.2173118810054339   0.004346237620108678    0.007451595168755224
     Lf     50  -1.3071287002853257e-05     0.1121911586417556   0.002243823172835112   0.0038605363222798572
    Lds     10    -0.006655039309507074    0.05220622447178376   0.005220622447178376    0.008066586800680571
    Lfs     10     0.003895476155351177    0.02488579535348489   0.002488579535348489   0.0036340550532201125
     R1     50    5.056902536517061e-05  0.0002732655714690246  5.465311429380491e-06  1.0347617597505215e-05
    BPM     60                      0.0                    0.0                    0.0                     0.0
    OD1    120                      0.0                    0.0                    0.0                     0.0
    OD2    120                      0.0                    0.0                    0.0                     0.0
    OR1     10                      0.0                    0.0                    0.0                     0.0
    SDP     30                      0.0                    0.0                    0.0                     0.0
    SFP     30                      0.0                    0.0                    0.0                     0.0


Ray 4
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     Ld     50    3.367376032029773e-05     0.28975061825838655    0.005795012365167731    0.009935482142425924
     Lf     50  -2.1457498078422156e-05     0.14958860024643914    0.002991772004928783    0.005147311845502484
    Lds     10    -0.008873416368560922     0.06960825270820051    0.006960825270820051    0.010755449012303115
    Lfs     10      0.00519399027590697    0.033181086031878027    0.003318108603187803     0.00484540550792154
     R1     50    5.059939177766255e-05  0.00036234916049144553  7.2469832098289105e-06  1.3458778186451956e-05
    BPM     60                      0.0                     0.0                     0.0                     0.0
    OD1    120                      0.0                     0.0                     0.0                     0.0
    OD2    120                      0.0                     0.0                     0.0                     0.0
    OR1     10                      0.0                     0.0                     0.0                     0.0
    SDP     30                      0.0                     0.0                     0.0                     0.0
    SFP     30                      0.0                     0.0                     0.0                     0.0


Ray 5
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation        Max_abs_rotation
------------------------------------------------------------------------------------------------------------
     Ld     50   4.867511259267626e-05    0.36219005303689816  0.0072438010607379635    0.012419371082118364
     Lf     50  -3.183066930217797e-05    0.18698622824321848  0.0037397245648643695    0.006434047247411383
    Lds     10   -0.011091816336039291    0.08701024860835324   0.008701024860835325    0.013444311176550532
    Lfs     10    0.006492507654450164   0.041476392423215096    0.00414763924232151    0.006056753435246422
     R1     50   5.063967025916588e-05  0.0004514167616935441  9.028335233870883e-06  1.6575668203682933e-05
    BPM     60                     0.0                    0.0                    0.0                     0.0
    OD1    120                     0.0                    0.0                    0.0                     0.0
    OD2    120                     0.0                    0.0                    0.0                     0.0
    OR1     10                     0.0                    0.0                    0.0                     0.0
    SDP     30                     0.0                    0.0                    0.0                     0.0
    SFP     30                     0.0                    0.0                    0.0                     0.0


Ray 6
Element  Count          Total_rotation     Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
------------------------------------------------------------------------------------------------------------
     Ld     50   6.634747913781408e-05    0.43463019137303827    0.008692603827460765   0.014903270457777933
     Lf     50  -4.421429186684655e-05    0.22438402220837217    0.004487680444167443   0.007720748254025321
