    Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
------------------------------------------------------------------------------------------------------------------------------------------
MAGNETIC_2P            BC                   0  0.67  0.37  Ref             58.88333765353025                60     Ref     nan  nan    nan
MAGNETIC_2P            BC                   0  0.67  0.37    2             58.89780548892162                24       2   0.001  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    3            58.905026916621985                24       3  0.0015  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    4            58.912238757447064                24       4   0.002  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    5            58.919441005506094                17       5  0.0025  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    6            58.926633654910475                24       6   0.003  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    7             58.93381669977376                24       7  0.0035  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    8             58.94099013421167                24       8   0.004  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    9            58.948153952342146                24       9  0.0045  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37   10            58.890652105736656                38      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count     Total_rotation  Total_abs_rotation    Mean_abs_rotation    Max_abs_rotation
----------------------------------------------------------------------------------------------
    OD2     22  19.62777948354711   19.62777948354711   0.8921717947066867   4.906948589070147
    OD1     22  19.62777915960099   19.62777915960099   0.8921717799818633   4.906947314197286
     Lf     10  9.813892688021962   9.813892688021962   0.9813892688021962  4.9069466831217525
    SDP      6  4.906945022585183   4.906945022585183   0.8178241704308639   4.906945022585183
    BPM     11  4.906941299775006   4.906941299775006  0.44608557270681876   4.906941299775006
    Lds      1                0.0                 0.0                  0.0                 0.0
     Ld     10                0.0                 0.0                  0.0                 0.0
    Lfs      2                0.0                 0.0                  0.0                 0.0
    OR1      1                0.0                 0.0                  0.0                 0.0
     R1     10                0.0                 0.0                  0.0                 0.0
    SFP      5                0.0                 0.0                  0.0                 0.0


Ray 2
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
    OD2     22       19.67261455078916      19.69487162771851     0.8952214376235686       4.91057428987607
    OD1     22       19.60577910102139      19.65397774862255     0.8933626249373887      4.910571764201325
     Lf     10       9.790285015574485      9.830551341922403     0.9830551341922403      4.905844244114975
    SDP      6      4.9303240515955755     4.9303240515955755     0.8217206752659293      4.904414079556555
    BPM     11       4.904110015583206      4.917236476441112    0.44702149785828293      4.906018444690432
     R1     10    0.009447355088624931   0.029199590970286238  0.0029199590970286236    0.01582409405094154
     Ld     10   -0.017868105592587114   0.017868105592587114  0.0017868105592587114   0.006965133251036093
    Lds      1    0.004736356175618108   0.004736356175618108   0.004736356175618108   0.004736356175618108
    Lfs      2  -0.0016193535056032715  0.0016193535056032715  0.0008096767528016358  0.0016193535056032715
    OR1      1  -2.283424027638148e-06  2.283424027638148e-06  2.283424027638148e-06  2.283424027638148e-06
    SFP      5                     0.0                    0.0                    0.0                    0.0


Ray 3
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD2     22        19.69501819392137      19.728483063793593       0.896749230172436       4.912390676738676
    OD1     22       19.594817832101594       19.66705892301847      0.8939572237735668       4.912388185423776
     Lf     10        9.778441459668006        9.83890222786263      0.9838902227862629       4.905292336384796
    SDP      6        4.942022580039648       4.942022580039648       0.823670430006608      4.9031480782925705
    BPM     11        4.902693912265045       4.922384173554709      0.4474894703231554       4.905553087214926
     R1     10     0.014148901593902252     0.04384130683673604    0.004384130683673604    0.023741046299321056
     Ld     10    -0.026784049388531628    0.026784049388531628    0.002678404938853163    0.010425390070601281
    Lds      1     0.007104533383761792    0.007104533383761792    0.007104533383761792    0.007104533383761792
    Lfs      2   -0.0024368955053333252   0.0024368955053333252   0.0012184477526666626   0.0024368955053333252
    SFP      5    5.646039850759621e-06   5.646039850759621e-06  1.1292079701519243e-06   5.646039850759621e-06
    OR1      1  -5.1376953553727844e-06  5.1376953553727844e-06  5.1376953553727844e-06  5.1376953553727844e-06


Ray 4
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
    OD2     22       19.71742259464377     19.762084593931775     0.8982765724514443      4.914208989746609
    OD1     22      19.583848288454362     19.680168343923512     0.8945531065419778      4.914208798632039
     Lf     10          9.766587612264      9.847287725687298     0.9847287725687298      4.904748191099615
    SDP      6       4.953725364477352      4.953725364477352     0.8256208940795586      4.901882566911153
    BPM     11       4.901259888347973      4.927513949525141     0.4479558135931947      4.905073562951841
     R1     10    0.018840086647127663   0.058504940253410354   0.005850494025341035   0.031660960159150875
     Ld     10    -0.03564819391548646    0.03564819391548646   0.003564819391548646    0.01386545076411494
    Lds      1    0.009472711140588843   0.009472711140588843   0.009472711140588843   0.009472711140588843
    Lfs      2  -0.0032593437592112195  0.0032593437592112195  0.0016296718796056098  0.0032593437592112195
    OR1      1  -9.624199422297863e-06  9.624199422297863e-06  9.624199422297863e-06  9.624199422297863e-06
    SFP      5                     0.0                    0.0                    0.0                    0.0


Ray 5
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD2     22        19.73983250586722       19.79576828072029      0.8998076491236495       4.916029231073287
    OD1     22       19.572931833045917      19.693242170431866      0.8951473713832666       4.916029996707367
     Lf     10        9.754658894157377        9.85570226080824       0.985570226080824       4.904192433429593
    SDP      6        4.965426160888381       4.965426160888381      0.8275710268147302       4.900616565033797
    BPM     11       4.8998185753362575       4.932636439117741     0.44842149446524915       4.904591079349139
     R1     10     0.023517060964008962     0.07317280411742111    0.007317280411742111    0.039580873178223897
     Ld     10     -0.04448649955992323     0.04448649955992323    0.004448649955992323     0.01728108727262878
    Lds      1     0.011840888865050001    0.011840888865050001    0.011840888865050001    0.011840888865050001
    Lfs      2    -0.004086699297346286    0.004086699297346286    0.002043349648673143    0.004086699297346286
    OR1      1  -1.3700475891553765e-05  1.3700475891553765e-05  1.3700475891553765e-05  1.3700475891553765e-05
    SFP      5                      0.0                     0.0                     0.0                     0.0


Ray 6
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD2     22        19.76223962481156      19.829483097184315      0.9013401407811052       4.917852939210482
    OD1     22        19.56200368447273       19.70631271440271       0.895741487018305       4.917845172400458
     Lf     10        9.742739658989525       9.864121418703927      0.9864121418703927       4.903644925080143
    SDP      6        4.977130230482356       4.977130230482356      0.8295217050803926       4.899350563092254
    BPM     11        4.898380883679189       4.937762546965991     0.44888750426963553       4.904103557864907
     R1     10      0.02816765329122184     0.08786734827469012    0.008786734827469011     0.04750375204581303
     Ld     10     -0.05329811183739963     0.05329811183739963    0.005329811183739963    0.020680637997287477
    Lds      1      0.01420906654905379     0.01420906654905379     0.01420906654905379     0.01420906654905379
    Lfs      2    -0.004921920300667182    0.004921920300667182    0.002460960150333591    0.004921920300667182
    OR1      1  -1.9979826872962292e-05  1.9979826872962292e-05  1.9979826872962292e-05  1.9979826872962292e-05
    SFP      5                      0.0                     0.0                     0.0                     0.0


Ray 7
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD2     22       19.784644599584457      19.863241588077244      0.9028746176398748       4.919671721252479
    OD1     22       19.551107392447634      19.719370223542228      0.8963350101610104       4.919660451864434
     Lf     10        9.730766334171719       9.872571874603452      0.9872571874603452       4.903092995928674
    SDP      6        4.988837106053927       4.988837106053927      0.8314728510089878      4.8980850519575245
    BPM     11       4.8969259599694235       4.942872568594807       0.449352051690437       4.903608034807782
     R1     10      0.03280616360260602      0.1025778530677659     0.01025778530677659      0.0554285704109887
     Ld     10     -0.06207120770546837     0.06207120770546837    0.006207120770546836    0.024055882737521017
    Lds      1     0.016577244184508743    0.016577244184508743    0.016577244184508743    0.016577244184508743
    Lfs      2   -0.0057571417255743995   0.0057571417255743995   0.0028785708627871998   0.0057571417255743995
    OR1      1  -2.7400861806192722e-05  2.7400861806192722e-05  2.7400861806192722e-05  2.7400861806192722e-05
    SFP      5    5.646446359364177e-06   5.646446359364177e-06  1.1292892718728353e-06   5.646446359364177e-06


Ray 8
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD2     22       19.807036387387107      19.896986924192625      0.9044084965542102        4.92149228796147
    OD1     22       19.540239754096127      19.732444578621923      0.8969292990282692      4.9214818585460325
     Lf     10        9.718768019742345       9.881041443466078      0.9881041443466078      4.9025426945587585
    SDP      6        5.000555457884075       5.000555457884075      0.8334259096473459       4.896818477274384
    BPM     11       4.8954675553157845       4.947977963150683      0.4498161784682439       4.903107882378237
     R1     10     0.037437026403887685     0.11733328515716401    0.011733328515716401     0.06336422227953165
     Ld     10     -0.07082891292808746     0.07082891292808746    0.007082891292808746     0.02742290942315151
    Lds      1      0.01894542365786561     0.01894542365786561     0.01894542365786561     0.01894542365786561
    Lfs      2    -0.006600227517033375    0.006600227517033375   0.0033001137585166873    0.006600227517033375
    OR1      1  -3.5392720055149596e-05  3.5392720055149596e-05  3.5392720055149596e-05  3.5392720055149596e-05
    SFP      5     5.64654796164632e-06    5.64654796164632e-06   1.129309592329264e-06    5.64654796164632e-06


Ray 9
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD2     22       19.829436174868427       19.93080878228642      0.9059458537402918       4.923312385295686
    OD1     22       19.529366677667184      19.745481173152186      0.8975218715069175        4.92329627193665
     Lf     10         9.70674599431463       9.889521927910039      0.9889521927910039       4.901993048952066
    SDP      6        5.012262333337112       5.012262333337112      0.8353770555561854       4.895552966141217
    BPM     11        4.894017416536896       4.953089505162695     0.45028086410569956       4.902603101020524
     R1     10        0.042049309711782     0.13209760636737045    0.013209760636737044     0.07130283427703432
     Ld     10     -0.07954581160291596     0.07954581160291596    0.007954581160291596    0.030761635481809435
    Lds      1      0.02131360140876619     0.02131360140876619     0.02131360140876619     0.02131360140876619
    Lfs      2     -0.00744626793439096     0.00744626793439096     0.00372313396719548     0.00744626793439096
    OR1      1  -4.6159032135228983e-05  4.6159032135228983e-05  4.6159032135228983e-05  4.6159032135228983e-05
    SFP      5   5.6466494378071275e-06  5.6466494378071275e-06  1.1293298875614255e-06  5.6466494378071275e-06


Ray 10
Element  Count          Total_rotation      Total_abs_rotation      Mean_abs_rotation        Max_abs_rotation
-------------------------------------------------------------------------------------------------------------
    OD1     22      19.634230111892865      19.735425555135958     0.8970647979607254        4.92035507524859
    OD2     22      19.629258938131137      19.730938225344964     0.8968608284247711       4.917705764424749
     Lf     10        9.86147753917949       9.861831468642308     0.9861831468642308       4.917688331095022
