    Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
------------------------------------------------------------------------------------------------------------------------------------------
MAGNETIC_2P            NC                   0  0.67  0.37  Ref             58.88333765353025                60     Ref     nan  nan    nan
MAGNETIC_2P            NC                   0  0.67  0.37    2             58.89781658058752                24       2   0.001  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    3             58.90504910459296                24       3  0.0015  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    4              58.9122720463565                24       4   0.002  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    5             58.91949649860936                24       5  0.0025  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    6             58.92671136146403                24       6   0.003  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    7             58.93391662902232                24       7  0.0035  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    8              58.9411234009712                24       8   0.004  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    9             58.94832057046406                24       9  0.0045  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37   10              58.8907519102042                53      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count     Total_rotation  Total_abs_rotation    Mean_abs_rotation    Max_abs_rotation
----------------------------------------------------------------------------------------------
    OD2     22  19.62777948354711   19.62777948354711   0.8921717947066867   4.906948589070147
    OD1     22  19.62777915960099   19.62777915960099   0.8921717799818633   4.906947314197286
     Lf     10  9.813892688021962   9.813892688021962   0.9813892688021962  4.9069466831217525
    SDP      6  4.906945022585183   4.906945022585183   0.8178241704308639   4.906945022585183
    BPM     11  4.906941299775006   4.906941299775006  0.44608557270681876   4.906941299775006
    Lds      1                0.0                 0.0                  0.0                 0.0
     Ld     10                0.0                 0.0                  0.0                 0.0
    Lfs      2                0.0                 0.0                  0.0                 0.0
    OR1      1                0.0                 0.0                  0.0                 0.0
     R1     10                0.0                 0.0                  0.0                 0.0
    SFP      5                0.0                 0.0                  0.0                 0.0


Ray 2
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
    OD2     22      19.672613900741382     19.694819957380226     0.8952190889718284      4.910577904867395
    OD1     22      19.605763327556243     19.653986478119464     0.8933630217327029      4.910571660020972
     Lf     10       9.790312352209293      9.830527949607601     0.9830527949607601      4.905842531513555
    SDP      6       4.930318509368761      4.930318509368761     0.8217197515614602      4.904414079556555
    BPM     11       4.904117308072268      4.917244910608521    0.44702226460077465      4.906026307832725
     R1     10    0.009471640979322515   0.029175014039344305  0.0029175014039344305   0.015821132056736076
     Ld     10   -0.017902432271775126   0.017902432271775126  0.0017902432271775127  0.0069894396638190415
    Lds      1    0.004736356175618108   0.004736356175618108   0.004736356175618108   0.004736356175618108
    Lfs      2  -0.0016163938839497405  0.0016163938839497405  0.0008081969419748702  0.0016163938839497405
    OR1      1                     0.0                    0.0                    0.0                    0.0
    SFP      5                     0.0                    0.0                    0.0                    0.0


Ray 3
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
    OD2     22      19.695030771323296     19.728364369659843     0.8967438349845384      4.912390821929938
    OD1     22      19.594762197715166     19.667085127046924     0.8939584148657693      4.912387977111264
     Lf     10       9.778502791199596      9.838875109631768     0.9838875109631768      4.905293415450618
    SDP      6       4.942003534610603      4.942003534610603     0.8236672557684338     4.9031480782925705
    BPM     11       4.902702347959314      4.922392609097519     0.4474902371906836      4.905565851831746
     R1     10    0.014188247574507429   0.043776418399518846   0.004377641839951885   0.023728275010853395
     Ld     10   -0.026825645402396958   0.026825645402396958   0.002682564540239696   0.010474001883203243
    Lds      1    0.007104533383761792   0.007104533383761792   0.007104533383761792   0.007104533383761792
    Lfs      2  -0.0024211648392480356  0.0024211648392480356  0.0012105824196240178  0.0024211648392480356
    OR1      1                     0.0                    0.0                    0.0                    0.0
    SFP      5                     0.0                    0.0                    0.0                    0.0


Ray 4
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
    OD2     22      19.717429418853442      19.76190788051998     0.8982685400236355      4.914203415531427
    OD1     22       19.58378433214441     19.680170435826668     0.8945532016284848      4.914203424170831
     Lf     10       9.766684732565796      9.847215408833204     0.9847215408833204      4.904745357038499
    SDP      6       4.953692281730337      4.953692281730337     0.8256153802883895      4.901882566911153
    BPM     11       4.901281749141776      4.927536954306473     0.4479579049369521     4.9050959956477485
     R1     10    0.018902763829968805    0.05838119787938645   0.005838119787938645    0.03163541704287809
     Ld     10   -0.035736489656631676   0.035736489656631676  0.0035736489656631675   0.013946470402899536
    Lds      1    0.009472711140588843   0.009472711140588843   0.009472711140588843   0.009472711140588843
    Lfs      2  -0.0032387068331942714  0.0032387068331942714  0.0016193534165971357  0.0032387068331942714
    OR1      1                     0.0                    0.0                    0.0                    0.0
    SFP      5                     0.0                    0.0                    0.0                    0.0


Ray 5
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
    OD2     22       19.73983832927786      19.79546394549139     0.8997938157041542      4.916021874092095
    OD1     22      19.572791095142232      19.69325871106256     0.8951481232301163      4.916014197830343
     Lf     10        9.75483612206411        9.8555850535309       0.98555850535309      4.904192140187229
    SDP      6       4.965386125580478      4.965386125580478      0.827564354263413      4.900616565033797
    BPM     11       4.899862026709634      4.932681031552555    0.44842554832295956       4.90463077235308
     R1     10    0.023613568422877762     0.0729995062021267    0.00729995062021267    0.03954746729186809
     Ld     10     -0.0446218001762233     0.0446218001762233    0.00446218001762233   0.017410836795143325
    Lds      1    0.011840888865050001   0.011840888865050001   0.011840888865050001   0.011840888865050001
    Lfs      2  -0.0040532904078816046  0.0040532904078816046  0.0020266452039408023  0.0040532904078816046
    OR1      1                     0.0                    0.0                    0.0                    0.0
    SFP      5                     0.0                    0.0                    0.0                    0.0


Ray 6
Element  Count         Total_rotation    Total_abs_rotation      Mean_abs_rotation      Max_abs_rotation
--------------------------------------------------------------------------------------------------------
    OD2     22     19.762238205947426    19.829020142869688     0.9013190974031676     4.917834791964085
    OD1     22     19.561834579203676       19.706320149855      0.895741824993409     4.917828192705985
     Lf     10      9.742971894879311     9.863970155613586     0.9863970155613586     4.903638922495286
    SDP      6      4.977072603385055     4.977072603385055     0.8295121005641759     4.899350563092254
    BPM     11       4.89843369816979     4.937815524433268    0.44889232040302435     4.904160782507596
     R1     10    0.02830554286038911   0.08762119738209684   0.008762119738209683   0.04745461054623945
     Ld     10   -0.05349224371773076   0.05349224371773076  0.0053492243717730755  0.020862991769625694
    Lds      1    0.01420906654905379   0.01420906654905379    0.01420906654905379   0.01420906654905379
    Lfs      2  -0.004862967217107439  0.004862967217107439  0.0024314836085537195  0.004862967217107439
    OR1      1                    0.0                   0.0                    0.0                   0.0
    SFP      5                    0.0                   0.0                    0.0                   0.0


Ray 7
Element  Count         Total_rotation    Total_abs_rotation     Mean_abs_rotation      Max_abs_rotation
-------------------------------------------------------------------------------------------------------
    OD2     22      19.78464110441378     19.86259677994353    0.9028453081792513    4.9196483252075875
    OD1     22      19.55087377598212    19.719403295998642    0.8963365134544837     4.919643640554048
     Lf     10       9.73109563752956     9.872363192997941    0.9872363192997942     4.903091435019547
    SDP      6     4.9887581188735695    4.9887581188735695    0.8314596864789282    4.8980850519575245
    BPM     11      4.897001159522203     4.942948908005933     0.449358991636903     4.903687557351724
     R1     10     0.0330012947023306   0.10224908834101853  0.010224908834101853  0.055361753370583244
     Ld     10    -0.0623479965612006    0.0623479965612006   0.00623479965612006  0.024311155807531293
    Lds      1   0.016577244184508743  0.016577244184508743  0.016577244184508743  0.016577244184508743
    Lfs      2  -0.005685415960805074  0.005685415960805074  0.002842707980402537  0.005685415960805074
    OR1      1                    0.0                   0.0                   0.0                   0.0
    SFP      5                    0.0                   0.0                   0.0                   0.0


Ray 8
Element  Count         Total_rotation    Total_abs_rotation      Mean_abs_rotation      Max_abs_rotation
--------------------------------------------------------------------------------------------------------
    OD2     22     19.807035428153963     19.89620324348604     0.9043728747039108    4.9214667832828844
    OD1     22     19.539924519232592    19.732491236981453     0.8969314198627933    4.9214591924433435
     Lf     10      9.719206714414465     9.880767089979901     0.9880767089979902    4.9025388724087895
    SDP      6     5.0004481158806575    5.0004481158806575     0.8334080193134429     4.896818477274384
    BPM     11      4.895569428404021     4.948079998489528     0.4498254544081389     4.903209836913739
     R1     10    0.03768767566923081   0.11687232481603083   0.011687232481603083   0.06327186174785027
     Ld     10   -0.07118997573219943   0.07118997573219943   0.007118997573219943  0.027755207263744808
    Lds      1    0.01894542365786561   0.01894542365786561    0.01894542365786561   0.01894542365786561
    Lfs      2  -0.006507864592030899  0.006507864592030899  0.0032539322960154493  0.006507864592030899
    OR1      1                    0.0                   0.0                    0.0                   0.0
    SFP      5                    0.0                   0.0                    0.0                   0.0


Ray 9
Element  Count        Total_rotation   Total_abs_rotation     Mean_abs_rotation     Max_abs_rotation
----------------------------------------------------------------------------------------------------
    OD2     22    19.829434407637038    19.92978674610292    0.9058993975501327    4.923281778174886
    OD1     22    19.528966414592674    19.74552575487599    0.8975238979489087    4.923268127899515
     Lf     10     9.707292973380635    9.889179483844831    0.9889179483844831   4.9019863101550705
    SDP      6     5.012147184624178    5.012147184624178    0.8353578641040297    4.895552966141217
    BPM     11     4.894138102984755    4.953215736730982   0.45029233970281657    4.902735218382354
     R1     10   0.04236349763621661  0.13152578293441763  0.013152578293441764   0.0711790059243711
     Ld     10  -0.08000481695225403  0.08000481695225403  0.008000481695225404  0.03117495468093523
    Lds      1   0.02131360140876619  0.02131360140876619   0.02131360140876619  0.02131360140876619
    Lfs      2  -0.00733031365157899  0.00733031365157899  0.003665156825789495  0.00733031365157899
    OR1      1                   0.0                  0.0                   0.0                  0.0
    SFP      5                   0.0                  0.0                   0.0                  0.0


Ray 10
Element  Count         Total_rotation    Total_abs_rotation     Mean_abs_rotation      Max_abs_rotation
-------------------------------------------------------------------------------------------------------
    OD1     22     19.634100690652453    19.735561105809268    0.8970709593549667     4.920340647078447
    OD2     22      19.62932534779651     19.73077026376717    0.8968531938075986     4.917683323630975
     Lf     10      9.861723094640189     9.861723094640189    0.9861723094640189     4.917687732117601
    SDP      6      4.874592711524768     4.966082789972342    0.8276804649953903     4.920337750748555
    BPM     11     4.9285536125094485     4.937944334633299   0.44890403042120897     4.920337279744501
     Ld     10  -0.045760898810947026  0.045760898810947026  0.004576089881094703  0.041053519566034424
     R1     10   0.008218915744443223   0.01760261269691199  0.001760261269691199  0.012902898339518742
    Lds      1                    0.0                   0.0                   0.0                   0.0
    Lfs      2                    0.0                   0.0                   0.0                   0.0
    OR1      1                    0.0                   0.0                   0.0                   0.0
    SFP      5                    0.0                   0.0                   0.0                   0.0
