    Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
------------------------------------------------------------------------------------------------------------------------------------------
MAGNETIC_2P            SC                   0  0.67  0.37  Ref             58.88333765353025                60     Ref     nan  nan    nan
MAGNETIC_2P            SC                   0  0.67  0.37    2             58.89780548892162                24       2   0.001  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    3             58.90502691662198                24       3  0.0015  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    4             58.91223875744706                24       4   0.002  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    5             58.91944100550611                24       5  0.0025  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    6             58.92663365491047                24       6   0.003  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    7             58.93380559654178                24       7  0.0035  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    8            58.940979028671606                24       8   0.004  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    9             58.94814284449597                24       9  0.0045  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37   10            58.890574480238826                38      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count     Total_rotation  Total_abs_rotation    Mean_abs_rotation    Max_abs_rotation
----------------------------------------------------------------------------------------------
    OD2     22  19.62777948354711   19.62777948354711   0.8921717947066867   4.906948589070147
    OD1     22  19.62777915960099   19.62777915960099   0.8921717799818633   4.906947314197286
     Lf     10  9.813892688021962   9.813892688021962   0.9813892688021962  4.9069466831217525
    SDP      6  4.906945022585183   4.906945022585183   0.8178241704308639   4.906945022585183
    BPM     11  4.906941299775006   4.906941299775006  0.44608557270681876   4.906941299775006
    Lds      1                0.0                 0.0                  0.0                 0.0
     Ld     10                0.0                 0.0                  0.0                 0.0
    Lfs      2                0.0                 0.0                  0.0                 0.0
    OR1      1                0.0                 0.0                  0.0                 0.0
     R1     10                0.0                 0.0                  0.0                 0.0
    SFP      5                0.0                 0.0                  0.0                 0.0


Ray 2
Element  Count          Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
--------------------------------------------------------------------------------------------------------------
    OD2     22      19.672603549783698      19.694803263886477      0.8952183301766581       4.910574111047861
    OD1     22       19.60576944618253      19.653997075807986      0.8933635034458175       4.910571660020972
     Lf     10       9.790275417949887       9.830572750540918      0.9830572750540918      4.9058464648505105
    SDP      6       4.930317699026545       4.930317699026545      0.8217196165044242       4.904414079556555
    BPM     11        4.90412221269939       4.917249815201972     0.44702271047290654       4.906031212443011
     R1     10    0.009471070418261007     0.02917575495386515    0.002917575495386515    0.015816227671770378
     Ld     10   -0.017876314011669336    0.017876314011669336   0.0017876314011669337    0.006981337187148995
    Lds      1    0.004736356175618108    0.004736356175618108    0.004736356175618108    0.004736356175618108
    Lfs      2  -0.0016144474864319136   0.0016144474864319136   0.0008072237432159568   0.0016144474864319136
    OR1      1  1.7125680091822915e-06  1.7125680091822915e-06  1.7125680091822915e-06  1.7125680091822915e-06
    SFP      5                     0.0                     0.0                     0.0                     0.0


Ray 3
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD2     22        19.69502539425153       19.72833269923462      0.8967423954197554       4.912390933559067
    OD1     22       19.594799937616244      19.667073743868055      0.8939578974485479       4.912386898822936
     Lf     10        9.778417209392936       9.838965133056783      0.9838965133056783       4.905295636259796
    SDP      6        4.941996537660355       4.941996537660355      0.8236660896100592      4.9031480782925705
    BPM     11        4.902697886117512       4.922389288881629     0.44748993535287535       4.905565714585272
     R1     10     0.014181850105750016     0.04374311792848573    0.004374311792848573    0.023710598895071655
     Ld     10    -0.026772986316457192    0.026804837272576876   0.0026804837272576877    0.010461907688849692
    Lds      1     0.007104533383761792    0.007104533383761792    0.007104533383761792    0.007104533383761792
    Lfs      2   -0.0024211648782141992   0.0024211648782141992   0.0012105824391070996   0.0024211648782141992
    SFP      5  -5.6460396571367255e-06  5.6460396571367255e-06   1.129207931427345e-06  5.6460396571367255e-06
    OR1      1   3.4251301919141497e-06  3.4251301919141497e-06  3.4251301919141497e-06  3.4251301919141497e-06


Ray 4
Element  Count          Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
    OD2     22      19.717428962384965     19.761866739059048     0.8982666699572295      4.914207285860577
    OD1     22      19.583849318917622      19.68014379223271     0.8945519905560322      4.914197569603045
     Lf     10       9.766509553802015      9.847395334746691     0.9847395334746691      4.904739648274473
    SDP      6       4.953682696573113      4.953682696573113     0.8256137827621854      4.901882566911153
    BPM     11       4.901273967993715      4.927529172911607     0.4479571975374188     4.9051006253387825
     R1     10     0.01889810197765307   0.058322928462375856   0.005832292846237585     0.0316039510062609
     Ld     10   -0.035651366295207154    0.03569268034604001  0.0035692680346040007    0.01393026743446768
    Lds      1    0.009472711140588843   0.009472711140588843   0.009472711140588843   0.009472711140588843
    Lfs      2  -0.0032308417886781626  0.0032308417886781626  0.0016154208943390813  0.0032308417886781626
    OR1      1   6.279395272201782e-06  6.279395272201782e-06  6.279395272201782e-06  6.279395272201782e-06
    SFP      5                     0.0                    0.0                    0.0                    0.0


Ray 5
Element  Count         Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
----------------------------------------------------------------------------------------------------------
    OD2     22     19.739827761466955     19.795379144982128     0.8997899611355513      4.916020315446188
    OD1     22       19.5729056584107     19.693201302535865     0.8951455137516302      4.916012913017511
     Lf     10      9.754571261097784      9.855859103429768     0.9855859103429768      4.904188652334516
    SDP      6      4.965369499546416      4.965369499546416      0.827561583257736      4.900616565033797
    BPM     11       4.89984682044685      4.932666966547405    0.44842426968612775      4.904632301473917
     R1     10   0.023598473083630722    0.07290650412109301   0.007290650412109301   0.039493418463969476
     Ld     10   -0.04448562192966676   0.044552325316459473   0.004455232531645948   0.017386532106755226
    Lds      1   0.011840888865050001   0.011840888865050001   0.011840888865050001   0.011840888865050001
    Lfs      2  -0.004045425700084593   0.004045425700084593  0.0020227128500422964   0.004045425700084593
    OR1      1  9.704503414198484e-06  9.704503414198484e-06  9.704503414198484e-06  9.704503414198484e-06
    SFP      5                    0.0                    0.0                    0.0                    0.0


Ray 6
Element  Count         Total_rotation     Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
----------------------------------------------------------------------------------------------------------
    OD2     22     19.762230219153594     19.828946825295017     0.9013157647861371      4.917838886305471
    OD1     22     19.561981474472685     19.706259476963275     0.8957390671346943      4.917822610268205
     Lf     10       9.74259335450152       9.86436135329454      0.986436135329454       4.90363716884797
    SDP      6      4.977038708669104      4.977038708669104     0.8295064514448507      4.899350563092254
    BPM     11     4.8984181351014495      4.937802083803506    0.44889109852759146      4.904162445396992
     R1     10    0.02829992436751816    0.08748337078001178   0.008748337078001179   0.047382887933821394
     Ld     10   -0.05329131659081021   0.053399334558159595  0.0053399334558159595   0.020830583871337183
    Lds      1    0.01420906654905379    0.01420906654905379    0.01420906654905379    0.01420906654905379
    Lfs      2  -0.004862967120729422   0.004862967120729422   0.002431483560364711   0.004862967120729422
    OR1      1  1.419120731327439e-05  1.419120731327439e-05  1.419120731327439e-05  1.419120731327439e-05
    SFP      5                    0.0                    0.0                    0.0                    0.0


Ray 7
Element  Count          Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
--------------------------------------------------------------------------------------------------------------
    OD2     22      19.784631564176465       19.86247938197628      0.9028399719080127       4.919650132611514
    OD1     22      19.551067241193643      19.719312505397305      0.8963323866089684       4.919633758995836
     Lf     10       9.730574939720626        9.87288088243045       0.987288088243045       4.903085601205824
    SDP      6      4.9887219618438845      4.9887219618438845       0.831453660307314      4.8980850519575245
    BPM     11       4.896988523790771       4.942936435567997     0.44935785777890885       4.903687415335021
     R1     10     0.03297781150286383     0.10207212290463374    0.010207212290463374     0.05526152921905236
     Ld     10    -0.06206587661598917    0.062205743365581156    0.006220574336558116    0.024266535069564554
    Lds      1    0.016577244184508743    0.016577244184508743    0.016577244184508743    0.016577244184508743
    Lfs      2   -0.005685416137083621    0.005685416137083621   0.0028427080685418105    0.005685416137083621
    OR1      1  1.8838091182971084e-05  1.8838091182971084e-05  1.8838091182971084e-05  1.8838091182971084e-05
    SFP      5                     0.0                     0.0                     0.0                     0.0


Ray 8
Element  Count          Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
--------------------------------------------------------------------------------------------------------------
    OD2     22      19.807031350831604       19.89602265396749      0.9043646660894313       4.921468994803385
    OD1     22       19.54016994613142       19.73235696514932      0.8969253165976965       4.921436942486654
     Lf     10       9.718528024333565       9.881450152277345      0.9881450152277346       4.902532976258546
    SDP      6      5.0003994167061245      5.0003994167061245       0.833399902784354       4.896818477274384
    BPM     11       4.895547874401592       4.948062849697786     0.44982389542707146       4.903214732665468
     R1     10      0.0376665580311748     0.11664595291477475    0.011664595291477476     0.06314312796062893
     Ld     10    -0.07082272561113356     0.07100390642014176    0.007100390642014176    0.027690391483361054
    Lds      1     0.01894542365786561     0.01894542365786561     0.01894542365786561     0.01894542365786561
    Lfs      2   -0.006502956625766387    0.006502956625766387   0.0032514783128831937    0.006502956625766387
    OR1      1  2.5608387991482573e-05  2.5608387991482573e-05  2.5608387991482573e-05  2.5608387991482573e-05
    SFP      5  -5.646547160509385e-06   5.646547160509385e-06  1.1293094321018771e-06   5.646547160509385e-06


Ray 9
Element  Count          Total_rotation     Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
------------------------------------------------------------------------------------------------------------
    OD2     22      19.829407009031637     19.929572195479818      0.9058896452490827      4.923281993132495
    OD1     22       19.52929967057427      19.74537632667496      0.8975171057579527      4.923247120133627
     Lf     10       9.706432783030316      9.890051426612523      0.9890051426612523      4.901980351778668
    SDP      6       5.012077128813226      5.012077128813226      0.8353461881355377      4.895552966141217
    BPM     11       4.894106477189358      4.953185415373251      0.4502895832157501      4.902732244288309
     R1     10     0.04234964966274468    0.13121146894991575    0.013121146894991576    0.07101492470507509
     Ld     10    -0.07954838503260575    0.07978034732537864    0.007978034732537864   0.031102036951999423
    Lds      1     0.02131360140876619    0.02131360140876619     0.02131360140876619    0.02131360140876619
    Lfs      2   -0.007317541282297668   0.007317541282297668    0.003658770641148834   0.007317541282297668
    OR1      1   3.139671426399815e-05  3.139671426399815e-05   3.139671426399815e-05  3.139671426399815e-05
    SFP      5  -5.646648252977116e-06  5.646648252977116e-06  1.1293296505954232e-06  5.646648252977116e-06


Ray 10
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
    OD1     22       19.634310959842516       19.73529501835247      0.8970588644705668       4.920362840996827
    OD2     22        19.62921668666639      19.731082108820473      0.8968673685827487       4.917721882135204
     Lf     10        9.861319569475246       9.861925064060113      0.9861925064060113       4.917692807324428
    SDP      6        4.874613215522134       4.966062285974976      0.8276770476624961       4.920337750748555
