# number of spin vectors:      11
# iteration   EID vector   S_X            S_Y            S_Z
         0     0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      5  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      7  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      8  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     0     10  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1     1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     1      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     1      2 -0.9385902E-04  0.0000000E+00  0.1000000E+01
         1     1      3 -0.1407885E-03  0.0000000E+00  0.1000000E+01
         1     1      4 -0.1877180E-03  0.0000000E+00  0.1000000E+01
         1     1      5 -0.2346475E-03  0.0000000E+00  0.1000000E+01
         1     1      6 -0.2815771E-03  0.0000000E+00  0.1000000E+01
         1     1      7 -0.3285066E-03  0.0000000E+00  0.9999999E+00
         1     1      8 -0.3754361E-03  0.0000000E+00  0.9999999E+00
         1     1      9 -0.4223656E-03  0.0000000E+00  0.9999999E+00
         1     1     10  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1     2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     2      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     2      2 -0.9385902E-04  0.0000000E+00  0.1000000E+01
         1     2      3 -0.1407885E-03  0.0000000E+00  0.1000000E+01
         1     2      4 -0.1877180E-03  0.0000000E+00  0.1000000E+01
         1     2      5 -0.2346475E-03  0.0000000E+00  0.1000000E+01
         1     2      6 -0.2815771E-03  0.0000000E+00  0.1000000E+01
         1     2      7 -0.3285066E-03  0.0000000E+00  0.9999999E+00
         1     2      8 -0.3754361E-03  0.0000000E+00  0.9999999E+00
         1     2      9 -0.4223656E-03  0.0000000E+00  0.9999999E+00
         1     2     10  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1     3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     3      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         1     3      2 -0.9385902E-04  0.0000000E+00  0.1000000E+01
