i      lattice          optimization         SGx1             SGx2             SGy1             chrom_x            chrom_y            quad_kx            quad_ky            quad_kz            obj                eta1               alpha0             alpha1             fr3                gamma         eb1         particle        
0      seq_FSp_fr3      natural_chrom        0.000000e+00     0.000000e+00     0.000000e+00     -9.164534e+00      -8.997714e+00      -8.807565e-03      -2.373710e-02      -4.419845e-01      4.427091e-01       1.438191e+00       9.654233e-02       7.432969e-01       1.000000e+00       1.248107     112.464392   protons     
0      seq_dfs_pp1_fr3  natural_chrom        0.000000e+00     0.000000e+00     0.000000e+00     -1.930819e+00      -2.813153e+00      7.177251e-04       9.448777e-03       1.144441e-02       1.485830e-02       1.466537e+00       1.445466e-01       7.226938e-01       1.000000e+00       1.143914     1.143914     deuterons   
0      seq_qfs_fr3      natural_chrom        0.000000e+00     0.000000e+00     0.000000e+00     -5.466436e+00      -5.391991e+00      -7.937800e-03      9.400258e-04       -1.669164e-03      8.165686e-03       1.330412e+00       6.377779e-02       5.248441e-01       1.000000e+00       1.143914     -120.000000  deuterons   
2      seq_qfs_fr3      spin_coherence       3.335007e-03     4.309028e-03     5.707458e-04     -5.727529e+00      -5.634862e+00      -9.714570e-11      -2.778969e-10      -3.938941e-09      3.949926e-09       1.484422e+00       6.377779e-02       6.788549e-01       1.000000e+00       1.143914     -120.000000  deuterons   
2      seq_dfs_pp1_fr3  spin_coherence       6.440948e-04     1.340038e-03     -4.194666e-03    -1.566576e+00      1.485992e+00       -6.597527e-10      2.609435e-10       -2.212110e-10      7.431686e-10       1.261787e+00       1.445466e-01       5.179436e-01       1.000000e+00       1.143914     1.143914     deuterons   
2      seq_FSp          spin_coherence       8.493069e-05     -8.472331e-04    3.070885e-04     -1.085244e+01      -8.970429e+00      4.173125e-10       -4.022001e-09      -3.600704e-09      5.414398e-09       1.865532e+00       9.643320e-02       1.170568e+00       1.000000e+00       1.248107     112.464392   protons     
2      seq_dfs_pp1      spin_coherence       4.049189e-05     6.854357e-04     -7.072605e-04    -1.715307e+00      -2.947449e+00      8.305524e-10       9.155838e-10       -3.528049e-10      1.285528e-09       1.296092e+00       1.442138e-01       5.519942e-01       1.000000e+00       1.143914     1.143914     deuterons   
2      seq_qfs          spin_coherence       3.651989e-03     4.190345e-03     -4.369739e-03    -5.720555e+00      -3.442305e+00      1.059804e-09       -9.838051e-10      1.904133e-09       2.390979e-09       1.479419e+00       6.369034e-02       6.737845e-01       1.000000e+00       1.143914     -120.000000  deuterons   
0      seq_qfs          natural_chrom        0.000000e+00     0.000000e+00     0.000000e+00     -5.446697e+00      -4.945436e+00      -7.804230e-03      -9.495418e-04      -1.712529e-03      8.046141e-03       1.332795e+00       6.369034e-02       5.271606e-01       1.000000e+00       1.143914     -120.000000  deuterons   
0      seq_dfs_pp1      natural_chrom        0.000000e+00     0.000000e+00     0.000000e+00     -1.935595e+00      -3.442596e+00      4.487839e-04       1.402273e-03       9.936274e-03       1.004477e-02       1.467912e+00       1.442138e-01       7.238150e-01       1.000000e+00       1.143914     1.143914     deuterons   
0      seq_FSp          natural_chrom        0.000000e+00     0.000000e+00     0.000000e+00     -9.170757e+00      -8.816105e+00      -4.704244e-03      -2.356898e-02      -3.819466e-01      3.827020e-01       1.437150e+00       9.643320e-02       7.421860e-01       1.000000e+00       1.248107     112.464392   protons     
1      seq_FSp          chrom_correction     2.146921e-03     0.000000e+00     -2.374430e-03    1.450560e-06       -1.254750e-06      -7.092899e-02      -2.531444e-01      -5.375830e-01      5.984217e-01       1.272852e+00       9.643320e-02       5.778884e-01       1.000000e+00       1.248107     112.464392   protons     
1      seq_dfs_pp1      chrom_correction     3.329656e-03     0.000000e+00     -3.353966e-03    6.412674e-07       -8.456050e-07      -3.494514e-03      -8.347276e-03      7.048511e-03       1.147040e-02       1.417977e+00       1.442138e-01       6.738797e-01       1.000000e+00       1.143914     1.143914     deuterons   
1      seq_qfs          chrom_correction     1.219687e-02     0.000000e+00     -2.000035e-02    -5.819985e-07      3.041853e-07       2.628300e-02       3.397366e-03       1.626172e-02       3.109311e-02       8.482877e-01       6.369034e-02       4.265335e-02       1.000000e+00       1.143914     -120.000000  deuterons   
2      seq_FSp_fr3      spin_coherence       -2.167174e-06    -8.916723e-04    3.495954e-04     -1.144913e+01      -9.088777e+00      -8.903035e-10      1.331945e-09       -5.892712e-10      1.707032e-09       1.915113e+00       9.654233e-02       1.220219e+00       1.000000e+00       1.248107     112.464392   protons     
1      seq_FSp_fr3      chrom_correction     3.556274e-03     -2.946756e-03    -1.887554e-03    7.286384e-07       1.801917e-06       -1.022785e-01      -1.959759e-01      3.571038e-01       4.199888e-01       2.531199e+00       9.654233e-02       1.836305e+00       1.000000e+00       1.248107     112.464392   protons     
1      seq_dfs_pp1_fr3  chrom_correction     3.135124e-03     0.000000e+00     -2.552740e-03    -1.585297e-07      6.028045e-07       -3.086886e-03      3.265952e-03       6.684707e-03       8.054851e-03       1.381383e+00       1.445466e-01       6.375396e-01       1.000000e+00       1.143914     1.143914     deuterons   
1      seq_qfs_fr3      chrom_correction     1.207304e-02     0.000000e+00     -1.906776e-02    1.876719e-07       -1.398038e-06      2.628042e-02       7.991028e-03       1.608103e-02       3.182949e-02       8.522979e-01       6.377779e-02       4.673040e-02       1.000000e+00       1.143914     -120.000000  deuterons   
2      seq_dfs          spin_coherence       6.114013e-02     -2.144758e-02    -1.538249e-02    -4.330539e+00      -3.388607e+00      3.071287e-10       -4.691268e-10      4.285494e-10       7.057355e-10       1.150630e+00       3.288554e-02       3.214545e-01       1.000000e+00       1.143914     1.143914     deuterons            
1      seq_dfs          chrom_correction     5.305438e-02     0.000000e+00     -2.725140e-02    -1.905250e-07      -7.642535e-07      -1.243382e-02      -3.898403e-03      -1.069156e-02      1.685547e-02       9.512108e-01       3.288554e-02       1.220351e-01       1.000000e+00       1.143914     1.143914     deuterons            
