      Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
--------------------------------------------------------------------------------------------------------------------------------------------
ELECTROSTATIC            SC                   0  0.12  0.72  Ref         5.054120298458375e-05               185     Ref     nan  nan    nan
ELECTROSTATIC            SC                   0  0.12  0.72    2        -0.0017817755572180956                 1       2   0.001  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72    3        -0.0026950886180127443                 1       3  0.0015  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72    4         -0.003606509199891127                 1       4   0.002  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72    5         -0.004516039021952285                 1       5  0.0025  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72    6         -0.005423680949208061                 1       6   0.003  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72    7         -0.006329436127794016                 1       7  0.0035  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72    8         -0.007233311433420916                 1       8   0.004  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72    9          -0.00813530743926097                 1       9  0.0045  0.0    0.0
ELECTROSTATIC            SC                   0  0.12  0.72   10            -0.286165476187212               270      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count         Total_rotation     Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
-----------------------------------------------------------------------------------------------------------
     R1     50  5.054120298458375e-05  5.054120298458375e-05  1.0108240596916749e-06  1.010829330903558e-06
    BPM     35                    0.0                    0.0                     0.0                    0.0
    Lds     10                    0.0                    0.0                     0.0                    0.0
     Lf     50                    0.0                    0.0                     0.0                    0.0
    Lfs     10                    0.0                    0.0                     0.0                    0.0
     Ld     50                    0.0                    0.0                     0.0                    0.0
    OD1    120                    0.0                    0.0                     0.0                    0.0
    OD2    120                    0.0                    0.0                     0.0                    0.0
   OSDP     30                    0.0                    0.0                     0.0                    0.0
    OR1     10                    0.0                    0.0                     0.0                    0.0
   OSFP     30                    0.0                    0.0                     0.0                    0.0
    SDP     10                    0.0                    0.0                     0.0                    0.0
    SFN      5                    0.0                    0.0                     0.0                    0.0
    SFP     10                    0.0                    0.0                     0.0                    0.0


Ray 2
Element  Count          Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
--------------------------------------------------------------------------------------------------------------
     Ld     50  3.2205956935395935e-06     0.14488576938375514    0.002897715387675103    0.004968171401936211
     Lf     50  -2.349585242184156e-06     0.07480161048271575    0.001496032209654315     0.00257387996355706
    Lds     10   -0.004432669128283685     0.03480663873829252   0.0034806638738292517    0.005377725699442264
    Lfs     10   0.0025958003569679345    0.016591890598782483   0.0016591890598782483   0.0024229342352411675
     R1     50   5.054719592314464e-05  0.00018422271802015467  3.6844543604030933e-06  7.2370298532494284e-06
    SFN      5   7.996198963568409e-06   7.996198963568409e-06  1.5992397927136818e-06  2.8796858650985586e-06
    SDP     10  -2.382301210643713e-06   2.382301210643713e-06  2.3823012106437127e-07   4.812845467313219e-07
    SFP     10   -1.93888916820862e-06    1.93888916820862e-06    1.93888916820862e-07   4.222698920027662e-07
    OD1    120                     0.0                     0.0                     0.0                     0.0
    BPM     35                     0.0                     0.0                     0.0                     0.0
   OSFP     30                     0.0                     0.0                     0.0                     0.0
   OSDP     30                     0.0                     0.0                     0.0                     0.0
    OR1     10                     0.0                     0.0                     0.0                     0.0
    OD2    120                     0.0                     0.0                     0.0                     0.0


Ray 3
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     Ld     50    2.532988966438658e-06      0.2173386690163308   0.0043467733803266165    0.007452606954870018
     Lf     50  -3.2678645797098484e-06     0.11220848499974735    0.002244169699994947   0.0038608823887387803
    Lds     10    -0.006646011385518803     0.05221177454184033    0.005221177454184033    0.008066586800680571
    Lfs     10     0.003892827027742387    0.024888873168082446   0.0024888873168082445   0.0036345736946335958
     R1     50    5.055722243444663e-05   0.0002733131269643127   5.466262539286254e-06  1.0353347175202053e-05
    SFN      5   1.7993739427817155e-05  1.7993739427817155e-05   3.598747885563431e-06   6.480152595478468e-06
    SDP     10  -5.3670102294366465e-06  5.3670102294366465e-06   5.367010229436647e-07  1.0834631846319553e-06
    SFP     10  -4.3533332743160395e-06  4.3533332743160395e-06  4.3533332743160396e-07   9.453803467319999e-07
    OD1    120                      0.0                     0.0                     0.0                     0.0
    BPM     35                      0.0                     0.0                     0.0                     0.0
   OSFP     30                      0.0                     0.0                     0.0                     0.0
   OSDP     30                      0.0                     0.0                     0.0                     0.0
    OR1     10                      0.0                     0.0                     0.0                     0.0
    OD2    120                      0.0                     0.0                     0.0                     0.0


Ray 4
Element  Count          Total_rotation      Total_abs_rotation      Mean_abs_rotation        Max_abs_rotation
-------------------------------------------------------------------------------------------------------------
     Ld     50   3.512229032722261e-07     0.28979827413582343  0.0057959654827164685     0.00993727676065648
     Lf     50  -4.026403213376606e-06      0.1496193869866228  0.0029923877397324563   0.0051479249101876795
    Lds     10   -0.008857376300818509     0.06961812316604322   0.006961812316604322    0.010755449012303115
    Lfs     10    0.005189288469815715     0.03318653497482968   0.003318653497482968    0.004846326824111094
     R1     50   5.055344056257877e-05   0.0003624040498438043  7.248080996876086e-06  1.3464507763757613e-05
    SFN      5  3.1988806254143465e-05  3.1988806254143465e-05  6.397761250828693e-06  1.1522181046186644e-05
    SDP     10  -9.533444661397159e-06   9.533444661397159e-06  9.533444661397158e-07   1.925711130610838e-06
    SFP     10  -7.754983588813703e-06   7.754983588813703e-06  7.754983588813703e-07  1.6902254471162087e-06
    OD1    120                     0.0                     0.0                    0.0                     0.0
    BPM     35                     0.0                     0.0                    0.0                     0.0
   OSFP     30                     0.0                     0.0                    0.0                     0.0
   OSDP     30                     0.0                     0.0                    0.0                     0.0
    OR1     10                     0.0                     0.0                    0.0                     0.0
    OD2    120                     0.0                     0.0                    0.0                     0.0


Ray 5
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
