    Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
------------------------------------------------------------------------------------------------------------------------------------------
MAGNETIC_2P            BC                   0  0.67  0.37  Ref             58.88333765353025                60     Ref     nan  nan    nan
MAGNETIC_2P            BC                   0  0.67  0.37    2             58.89780548892162                24       2   0.001  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    3            58.905026916621985                24       3  0.0015  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    4            58.912238757447064                24       4   0.002  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    5            58.919441005506094                17       5  0.0025  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    6            58.926633654910475                24       6   0.003  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    7             58.93381669977376                24       7  0.0035  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    8             58.94099013421167                24       8   0.004  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37    9            58.948153952342146                24       9  0.0045  0.0    0.0
MAGNETIC_2P            BC                   0  0.67  0.37   10            58.890652105736656                38      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count      Total_rotation  Total_abs_rotation  Mean_abs_rotation   Max_abs_rotation
--------------------------------------------------------------------------------------------
     BM     12  58.883337653530255  58.883337653530255  4.906944804460855  4.906948589070147
     O2     28                 0.0                 0.0                0.0                0.0
     O4     14                 0.0                 0.0                0.0                0.0
    OBM      4                 0.0                 0.0                0.0                0.0
     QD     14                 0.0                 0.0                0.0                0.0
    QD1      2                 0.0                 0.0                0.0                0.0
     QF     12                 0.0                 0.0                0.0                0.0
    QF1      4                 0.0                 0.0                0.0                0.0
    SDP      4                 0.0                 0.0                0.0                0.0
    SFN      2                 0.0                 0.0                0.0                0.0
    SFP      4                 0.0                 0.0                0.0                0.0


Ray 2
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     BM     12        58.88333123049671       58.88333123049671       4.906944269208059        4.91057428987607
     QF     12    4.060156997187647e-05     0.10359281996416936    0.008632734997014113    0.013056471389536028
    QF1      4      0.01632077383615993     0.04696375856600454    0.011740939641501136     0.01582409405094154
     QD     14    -0.003422878002295424    0.041019043981529814   0.0029299317129664153    0.004736356175618108
    QD1      2    0.0015380715297048653    0.005460686427323225   0.0027303432136616124    0.003499378978514045
    SFP      4  -1.0246328475460587e-05  1.0246328475460587e-05  2.5615821188651466e-06   7.962904447822439e-06
    SDP      4    9.150204064667378e-06   9.150204064667378e-06  2.2875510161668444e-06  5.3960986150514145e-06
     O4     14                      0.0                     0.0                     0.0                     0.0
     O2     28                      0.0                     0.0                     0.0                     0.0
    OBM      4                      0.0                     0.0                     0.0                     0.0
    SFN      2                      0.0                     0.0                     0.0                     0.0


Ray 3
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     BM     12       58.883345908670265      58.883345908670265       4.906945492389188       4.912390676738676
     QF     12    0.0001007264998671431     0.15539364543329182    0.012949470452774317     0.01959243271705091
    QF1      4     0.024460939912547275     0.07048158926862058    0.017620397317155145    0.023741046299321056
     QD     14    -0.005153789888235037    0.061561177064253875    0.004397226933160991    0.007106755291747646
    QD1      2      0.00231603018320925    0.008192085648786929    0.004096042824393464    0.005254057915998089
    SFP      4  -3.3386927894341056e-05  3.3386927894341056e-05   8.346731973585264e-06  2.0656999495827222e-05
    SFN      2  -1.5098065656360404e-05  1.5098065656360404e-05   7.549032828180202e-06   8.102015250699424e-06
    SDP      4    5.646039850759621e-06   5.646039850759621e-06  1.4115099626899053e-06   5.646039850759621e-06
     O2     28                      0.0                     0.0                     0.0                     0.0
     O4     14                      0.0                     0.0                     0.0                     0.0
    OBM      4                      0.0                     0.0                     0.0                     0.0


Ray 4
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
--------------------------------------------------------------------------------------------------------------
     BM     12        58.88337342814568       58.88337342814568       4.906947785678807      4.914208989746609
     QF     12   0.00016363391992868515     0.20718038071985845    0.017265031726654872   0.026129566897029832
    QF1      4      0.03259820748464648     0.09401213373464401    0.023503033433661003   0.031660960159150875
     QD     14    -0.006928562698210015     0.08210976284127375    0.005864983060090982   0.009472711140588843
    QD1      2     0.003106613079371101    0.010916493502865166    0.005458246751432583   0.007011553291118133
    SFP      4  -5.6190568295200194e-05  5.6190568295200194e-05  1.4047642073800048e-05  3.335147725636034e-05
    SFN      2   -2.207328132364239e-05   2.207328132364239e-05  1.1036640661821195e-05  1.807992420488347e-05
    SDP      4    4.328019258537097e-06   4.328019258537097e-06  1.0820048146342742e-06  4.328019258537097e-06
     O2     28                      0.0                     0.0                     0.0                    0.0
     O4     14                      0.0                     0.0                     0.0                    0.0
    OBM      4                      0.0                     0.0                     0.0                    0.0


Ray 5
Element  Count          Total_rotation     Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
-------------------------------------------------------------------------------------------------------------
     BM     12       58.88338560116253      58.88338560116253      4.9069488000968775       4.916029996707367
     QF     12   0.0002549949519430328     0.2589562139372372     0.02157968449476977     0.03266961403993918
    QF1      4     0.04071977872834864    0.11756818611094033    0.029392046527735083    0.039580873178223897
     QD     14   -0.008697662919665863    0.10267826867034882   0.0073341620478820585    0.011840888865050001
    QD1      2     0.00389026618700683   0.013637852537975448    0.006818926268987724    0.008764059362491139
    SFP      4  -9.315081155314431e-05  9.315081155314431e-05  2.3287702888286077e-05   5.400874343308715e-05
    SFN      2  -3.871927956211607e-05  3.871927956211607e-05  1.9359639781058036e-05  3.0617242426700386e-05
    SDP      4   1.791177200161087e-05  1.791177200161087e-05   4.477943000402718e-06    8.08255134643332e-06
     O2     28                     0.0                    0.0                     0.0                     0.0
     O4     14                     0.0                    0.0                     0.0                     0.0
    OBM      4                     0.0                    0.0                     0.0                     0.0


Ray 6
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     BM     12       58.883421508524314       58.88342150852432      4.9069517923770265       4.917852939210482
     QF     12    0.0003665921138562567      0.3107212628998859     0.02589343857499049     0.03920848813823952
    QF1      4      0.04883938845187785     0.14114786452197237     0.03528696613049309     0.04750375204581303
     QD     14    -0.010507834813363542     0.12328464470070016    0.008806046050050012    0.014210694053016226
    QD1      2     0.004680909045067239    0.016346588429218656    0.008173294214609328    0.010513748737142947
    SFP      4  -0.00013891373367425075  0.00013891373367425075   3.472843341856269e-05   7.789570732796847e-05
