    Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
------------------------------------------------------------------------------------------------------------------------------------------
MAGNETIC_2P            NC                   0  0.67  0.37  Ref             58.88333765353025                60     Ref     nan  nan    nan
MAGNETIC_2P            NC                   0  0.67  0.37    2             58.89781658058752                24       2   0.001  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    3             58.90504910459296                24       3  0.0015  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    4              58.9122720463565                24       4   0.002  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    5             58.91949649860936                24       5  0.0025  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    6             58.92671136146403                24       6   0.003  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    7             58.93391662902232                24       7  0.0035  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    8              58.9411234009712                24       8   0.004  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37    9             58.94832057046406                24       9  0.0045  0.0    0.0
MAGNETIC_2P            NC                   0  0.67  0.37   10              58.8907519102042                53      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count      Total_rotation  Total_abs_rotation  Mean_abs_rotation   Max_abs_rotation
--------------------------------------------------------------------------------------------
     BM     12  58.883337653530255  58.883337653530255  4.906944804460855  4.906948589070147
     O2     28                 0.0                 0.0                0.0                0.0
     O4     14                 0.0                 0.0                0.0                0.0
    OBM      4                 0.0                 0.0                0.0                0.0
     QD     14                 0.0                 0.0                0.0                0.0
    QD1      2                 0.0                 0.0                0.0                0.0
     QF     12                 0.0                 0.0                0.0                0.0
    QF1      4                 0.0                 0.0                0.0                0.0
    SDP      4                 0.0                 0.0                0.0                0.0
    SFN      2                 0.0                 0.0                0.0                0.0
    SFP      4                 0.0                 0.0                0.0                0.0


Ray 2
Element  Count          Total_rotation    Total_abs_rotation      Mean_abs_rotation       Max_abs_rotation
----------------------------------------------------------------------------------------------------------
     BM     12        58.8833386704047      58.8833386704047      4.906944889200392      4.910577904867395
     QF     12  2.3670314855728236e-05   0.10357812420493051   0.008631510350410876    0.01305093004982183
    QF1      4    0.016319926224461767  0.046942951577740644   0.011735737894435161   0.015821132056736076
     QD     14  -0.0034036816473044995   0.04099984801314519   0.002928560572367514   0.004736356175618108
    QD1      2   0.0015359836504487134  0.005468407254745955  0.0027342036273729775  0.0035021954525973342
     O4     14                     0.0                   0.0                    0.0                    0.0
     O2     28                     0.0                   0.0                    0.0                    0.0
    OBM      4                     0.0                   0.0                    0.0                    0.0
    SDP      4                     0.0                   0.0                    0.0                    0.0
    SFN      2                     0.0                   0.0                    0.0                    0.0
    SFP      4                     0.0                   0.0                    0.0                    0.0


Ray 3
Element  Count          Total_rotation    Total_abs_rotation      Mean_abs_rotation      Max_abs_rotation
---------------------------------------------------------------------------------------------------------
     BM     12       58.88334423951023     58.88334423951023      4.906945353292519     4.912390821929938
     QF     12  4.6772030414032884e-05    0.1553685044742945   0.012947375372857875  0.019579894260358444
    QF1      4     0.02445802891398685   0.07042749566542383    0.01760687391635596  0.023728275010853395
     QD     14   -0.005109590344050373  0.061508319883335466  0.0043934514202382475  0.007106755370841711
    QD1      2   0.0023081634140211804  0.008199952538298305   0.004099976269149153  0.005254057976159743
     O4     14                     0.0                   0.0                    0.0                   0.0
     O2     28                     0.0                   0.0                    0.0                   0.0
    OBM      4                     0.0                   0.0                    0.0                   0.0
    SDP      4                     0.0                   0.0                    0.0                   0.0
    SFN      2                     0.0                   0.0                    0.0                   0.0
    SFP      4                     0.0                   0.0                    0.0                   0.0


Ray 4
Element  Count         Total_rotation    Total_abs_rotation     Mean_abs_rotation      Max_abs_rotation
-------------------------------------------------------------------------------------------------------
     BM     12      58.88333022681571     58.88333022681571     4.906944185567975     4.914203424170831
     QF     12   8.74883164785345e-05   0.20714481821725794  0.017262068184771495  0.026107400751484988
    QF1      4    0.03260031035021527   0.09392748129772954  0.023481870324432386   0.03163541704287809
     QD     14  -0.006829181604631472    0.0820203618108924  0.005858597272206599  0.009472711140588843
    QD1      2   0.003083949038725109  0.010929178584873966  0.005464589292436983  0.007006563811799538
     O4     14                    0.0                   0.0                   0.0                   0.0
     O2     28                    0.0                   0.0                   0.0                   0.0
    OBM      4                    0.0                   0.0                   0.0                   0.0
    SDP      4                    0.0                   0.0                   0.0                   0.0
    SFN      2                    0.0                   0.0                   0.0                   0.0
    SFP      4                    0.0                   0.0                   0.0                   0.0


Ray 5
Element  Count          Total_rotation    Total_abs_rotation     Mean_abs_rotation      Max_abs_rotation
--------------------------------------------------------------------------------------------------------
     BM     12       58.88333498105597     58.88333498105597     4.906944581754664     4.916021874092095
     QF     12  0.00013180034905602156    0.2589139976269159   0.02157616646890966   0.03263754152887266
    QF1      4    0.040724893672745566   0.11743536232971508   0.02935884058242877   0.03954746729186809
     QD     14   -0.008555380800883885   0.10254464301655167  0.007324617358325119  0.011840888865050001
    QD1      2     0.00385677120125294  0.013661368840015342  0.006830684420007671  0.008759070020634141
     O4     14                     0.0                   0.0                   0.0                   0.0
     O2     28                     0.0                   0.0                   0.0                   0.0
    OBM      4                     0.0                   0.0                   0.0                   0.0
    SDP      4                     0.0                   0.0                   0.0                   0.0
    SFN      2                     0.0                   0.0                   0.0                   0.0
    SFP      4                     0.0                   0.0                   0.0                   0.0


Ray 6
Element  Count         Total_rotation    Total_abs_rotation     Mean_abs_rotation      Max_abs_rotation
-------------------------------------------------------------------------------------------------------
     BM     12     58.883321512363786    58.883321512363786    4.9069434593636485     4.917834791964085
     QF     12  0.0002056010888313864    0.3106646789876226  0.025888723248968553   0.03916678491055059
    QF1      4    0.04883653521460829   0.14095026253420073   0.03523756563355018   0.04745461054623945
     QD     14  -0.010287912334508048   0.12306472171411925  0.008790337265294232  0.014210693990261092
    QD1      2   0.004634643727150944  0.016382875422856102  0.008191437711428051  0.010508759575003523
     O4     14                    0.0                   0.0                   0.0                   0.0
     O2     28                    0.0                   0.0                   0.0                   0.0
    OBM      4                    0.0                   0.0                   0.0                   0.0
    SDP      4                    0.0                   0.0                   0.0                   0.0
    SFN      2                    0.0                   0.0                   0.0                   0.0
    SFP      4                    0.0                   0.0                   0.0                   0.0


Ray 7
Element  Count         Total_rotation   Total_abs_rotation     Mean_abs_rotation      Max_abs_rotation
------------------------------------------------------------------------------------------------------
     BM     12     58.883335633308285   58.883335633308285     4.906944636109023    4.9196483252075875
     QF     12  0.0002699954497860091  0.36240722797687575  0.030200602331406312  0.045697209654559146
