    Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
------------------------------------------------------------------------------------------------------------------------------------------
MAGNETIC_2P            SC                   0  0.67  0.37  Ref             58.88333765353025                60     Ref     nan  nan    nan
MAGNETIC_2P            SC                   0  0.67  0.37    2             58.89780548892162                24       2   0.001  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    3             58.90502691662198                24       3  0.0015  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    4             58.91223875744706                24       4   0.002  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    5             58.91944100550611                24       5  0.0025  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    6             58.92663365491047                24       6   0.003  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    7             58.93380559654178                24       7  0.0035  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    8            58.940979028671606                24       8   0.004  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37    9             58.94814284449597                24       9  0.0045  0.0    0.0
MAGNETIC_2P            SC                   0  0.67  0.37   10            58.890574480238826                38      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count      Total_rotation  Total_abs_rotation  Mean_abs_rotation   Max_abs_rotation
--------------------------------------------------------------------------------------------
     BM     12  58.883337653530255  58.883337653530255  4.906944804460855  4.906948589070147
     O2     28                 0.0                 0.0                0.0                0.0
     O4     14                 0.0                 0.0                0.0                0.0
    OBM      4                 0.0                 0.0                0.0                0.0
     QD     14                 0.0                 0.0                0.0                0.0
    QD1      2                 0.0                 0.0                0.0                0.0
     QF     12                 0.0                 0.0                0.0                0.0
    QF1      4                 0.0                 0.0                0.0                0.0
    SDP      4                 0.0                 0.0                0.0                0.0
    SFN      2                 0.0                 0.0                0.0                0.0
    SFP      4                 0.0                 0.0                0.0                0.0


Ray 2
Element  Count          Total_rotation      Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
-------------------------------------------------------------------------------------------------------------
     BM     12      58.883348757107505      58.883348757107505      4.9069457297589585      4.910574111047861
     QF     12   5.048005415542178e-05     0.10354678004000295    0.008628898336666913   0.013049473179224336
    QF1      4      0.0162618327803834     0.04697161217420742    0.011742903043551856   0.015816227671770378
     QD     14   -0.003403936039909259     0.04099012291421281   0.0029278659224437724   0.004736356175618108
    QD1      2   0.0015380110043636819    0.005476359024221722    0.002738179512110861   0.003507185014292702
    SFP      4  1.1558399341637937e-05  1.1558399341637937e-05  2.8895998354094843e-06  5.211803379978619e-06
     O2     28                     0.0                     0.0                     0.0                    0.0
     O4     14                     0.0                     0.0                     0.0                    0.0
    OBM      4                     0.0                     0.0                     0.0                    0.0
    SDP      4                     0.0                     0.0                     0.0                    0.0
    SFN      2                     0.0                     0.0                     0.0                    0.0


Ray 3
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     BM     12        58.88335989518309      58.883359895183084       4.906946657931924       4.912390933559067
     QF     12   0.00011627768285471518     0.15526283908670457    0.012938569923892048     0.01957144074437167
    QF1      4      0.02434221464372399     0.07047649399949307    0.017619123499873268    0.023710598895071655
     QD     14    -0.005108255494441748    0.061490819402319125   0.0043922013858799375    0.007106755054465452
    QD1      2    0.0023059905075832887    0.008197779736509148    0.004098889868254574    0.005251885122046218
    SFP      4    3.157691368116389e-05   3.157691368116389e-05   7.894228420290972e-06   1.592547805984168e-05
    SFN      2  -1.5076972877281491e-05  1.5076972877281491e-05   7.538486438640746e-06   1.108400840443835e-05
    SDP      4  -5.6460396571367255e-06  5.6460396571367255e-06  1.4115099142841814e-06  5.6460396571367255e-06
     O2     28                      0.0                     0.0                     0.0                     0.0
     O4     14                      0.0                     0.0                     0.0                     0.0
    OBM      4                      0.0                     0.0                     0.0                     0.0


Ray 4
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     BM     12        58.88337682531429       58.88337682531429       4.906948068776191       4.914207285860577
     QF     12    0.0002256102643531932     0.20696237053042843    0.017246864210869035     0.02609631919696831
    QF1      4     0.032379155978620844     0.09400907767213695     0.02350226941803424      0.0316039510062609
     QD     14    -0.006822016144615915     0.08197651848209203    0.005855465605863717    0.009472711140588843
    QD1      2    0.0030869129037185417    0.010926215523788585   0.0054631077618942925    0.007006564213753563
    SFP      4     4.25324590338505e-05    4.25324590338505e-05  1.0633114758462625e-05  2.0657025416426222e-05
    SFN      2   -3.172412143648273e-05   3.172412143648273e-05  1.5862060718241366e-05  2.3622094660780135e-05
    SDP      4  -1.7912552912946467e-05  1.7912552912946467e-05   4.478138228236617e-06   8.082525994268508e-06
     O2     28                      0.0                     0.0                     0.0                     0.0
     O4     14                      0.0                     0.0                     0.0                     0.0
    OBM      4                      0.0                     0.0                     0.0                     0.0


Ray 5
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
--------------------------------------------------------------------------------------------------------------
     BM     12        58.88339429801223       58.88339429801223       4.906949524834352      4.916020315446188
     QF     12    0.0003500849639097581      0.2586168434464957     0.02155140362054131    0.03262091633595077
    QF1      4     0.040377885294624605     0.11756026270827391    0.029390065677068478   0.039493418463969476
     QD     14    -0.008558120524954606     0.10249888818293376     0.00732134915592384   0.011840888865050001
    QD1      2     0.003872506208242754    0.013645634068542023   0.0068228170342710115   0.008759070138392389
    SFP      4    5.865248310676918e-05   5.865248310676918e-05  1.4663120776692296e-05  3.335169339635513e-05
    SFN      2   -4.280883466378782e-05   4.280883466378782e-05   2.140441733189391e-05  3.470679724415504e-05
    SDP      4  -1.3477811442896837e-05  1.3477811442896837e-05   3.369452860724209e-06  8.082552469090842e-06
     O2     28                      0.0                     0.0                     0.0                    0.0
     O4     14                      0.0                     0.0                     0.0                    0.0
    OBM      4                      0.0                     0.0                     0.0                    0.0


Ray 6
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     BM     12        58.88343346119796       58.88343346119796       4.906952788433164       4.917838886305471
     QF     12    0.0005033387007120638     0.31023436047258635     0.02585286337271553     0.03913762402252097
    QF1      4     0.048353984014887885      0.1411399992763549    0.035284999819088725    0.047382887933821394
     QD     14    -0.010301414882528176     0.12301544402749648    0.008786817430535462     0.01420906654905379
    QD1      2      0.00464741436705296    0.016370104912834194    0.008185052456417097    0.010508759639943577
    SFP      4    8.900763304708903e-05   8.900763304708903e-05  2.2251908261772257e-05  5.4008983674691535e-05
