# number of rays:      11
# iteration   EID   ray    X              A              Y              B              T              D
         0     0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      2  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      3  0.1500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      4  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      5  0.2500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      6  0.3000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      7  0.3500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      8  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0      9  0.4500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0     0     10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E-02

         1     1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     1      2  0.9764423E-03 -0.9385904E-04  0.0000000E+00  0.0000000E+00 -0.1700487E-07  0.0000000E+00
         1     1      3  0.1464663E-02 -0.1407886E-03  0.0000000E+00  0.0000000E+00 -0.3826096E-07  0.0000000E+00
         1     1      4  0.1952885E-02 -0.1877181E-03  0.0000000E+00  0.0000000E+00 -0.6801948E-07  0.0000000E+00
         1     1      5  0.2441106E-02 -0.2346477E-03  0.0000000E+00  0.0000000E+00 -0.1062804E-06  0.0000000E+00
         1     1      6  0.2929327E-02 -0.2815772E-03  0.0000000E+00  0.0000000E+00 -0.1530438E-06  0.0000000E+00
         1     1      7  0.3417548E-02 -0.3285068E-03  0.0000000E+00  0.0000000E+00 -0.2083097E-06  0.0000000E+00
         1     1      8  0.3905769E-02 -0.3754365E-03  0.0000000E+00  0.0000000E+00 -0.2720779E-06  0.0000000E+00
         1     1      9  0.4393990E-02 -0.4223661E-03  0.0000000E+00  0.0000000E+00 -0.3443486E-06  0.0000000E+00
         1     1     10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9884948E-04  0.1000000E-02

         1     2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     2      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     2      2  0.9529775E-03 -0.9385904E-04  0.0000000E+00  0.0000000E+00 -0.1761623E-07  0.0000000E+00
         1     2      3  0.1429466E-02 -0.1407886E-03  0.0000000E+00  0.0000000E+00 -0.3963652E-07  0.0000000E+00
         1     2      4  0.1905955E-02 -0.1877181E-03  0.0000000E+00  0.0000000E+00 -0.7046492E-07  0.0000000E+00
         1     2      5  0.2382444E-02 -0.2346477E-03  0.0000000E+00  0.0000000E+00 -0.1101014E-06  0.0000000E+00
         1     2      6  0.2858933E-02 -0.2815772E-03  0.0000000E+00  0.0000000E+00 -0.1585461E-06  0.0000000E+00
         1     2      7  0.3335421E-02 -0.3285068E-03  0.0000000E+00  0.0000000E+00 -0.2157988E-06  0.0000000E+00
         1     2      8  0.3811910E-02 -0.3754365E-03  0.0000000E+00  0.0000000E+00 -0.2818597E-06  0.0000000E+00
         1     2      9  0.4288399E-02 -0.4223661E-03  0.0000000E+00  0.0000000E+00 -0.3567287E-06  0.0000000E+00
         1     2     10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1482742E-03  0.1000000E-02

         1     3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     3      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     3      2  0.9388987E-03 -0.9385904E-04  0.0000000E+00  0.0000000E+00 -0.1798305E-07  0.0000000E+00
         1     3      3  0.1408348E-02 -0.1407886E-03  0.0000000E+00  0.0000000E+00 -0.4046186E-07  0.0000000E+00
         1     3      4  0.1877797E-02 -0.1877181E-03  0.0000000E+00  0.0000000E+00 -0.7193219E-07  0.0000000E+00
         1     3      5  0.2347247E-02 -0.2346477E-03  0.0000000E+00  0.0000000E+00 -0.1123940E-06  0.0000000E+00
         1     3      6  0.2816696E-02 -0.2815772E-03  0.0000000E+00  0.0000000E+00 -0.1618474E-06  0.0000000E+00
         1     3      7  0.3286145E-02 -0.3285068E-03  0.0000000E+00  0.0000000E+00 -0.2202923E-06  0.0000000E+00
         1     3      8  0.3755594E-02 -0.3754365E-03  0.0000000E+00  0.0000000E+00 -0.2877288E-06  0.0000000E+00
         1     3      9  0.4225044E-02 -0.4223661E-03  0.0000000E+00  0.0000000E+00 -0.3641567E-06  0.0000000E+00
         1     3     10  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1779291E-03  0.1000000E-02

         1     4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     4      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     4      2  0.9154339E-03 -0.9385904E-04  0.0000000E+00  0.0000000E+00 -0.1859441E-07  0.0000000E+00
         1     4      3  0.1373151E-02 -0.1407886E-03  0.0000000E+00  0.0000000E+00 -0.4183742E-07  0.0000000E+00
         1     4      4  0.1830868E-02 -0.1877181E-03  0.0000000E+00  0.0000000E+00 -0.7437763E-07  0.0000000E+00
         1     4      5  0.2288585E-02 -0.2346477E-03  0.0000000E+00  0.0000000E+00 -0.1162150E-06  0.0000000E+00
         1     4      6  0.2746302E-02 -0.2815772E-03  0.0000000E+00  0.0000000E+00 -0.1673497E-06  0.0000000E+00
         1     4      7  0.3204018E-02 -0.3285068E-03  0.0000000E+00  0.0000000E+00 -0.2277815E-06  0.0000000E+00
         1     4      8  0.3661735E-02 -0.3754365E-03  0.0000000E+00  0.0000000E+00 -0.2975106E-06  0.0000000E+00
         1     4      9  0.4119452E-02 -0.4223661E-03  0.0000000E+00  0.0000000E+00 -0.3765368E-06  0.0000000E+00
